case_id,claim_id,claim_text,claim_type_guess,confidence,root_cause_primary,root_cause_secondary,failure_stage,evidence_issue_type,numeric_issue_type,verifier_issue_type,is_systematic,fix_owner,proposed_fix,confidence_after_review,reviewer,review_date,notes
AAPL:2025Q4:bm25_template,cl_0006,AAPL return on assets (ROA) is around 29.7%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:reranker_template,cl_0006,AAPL return on assets (ROA) is around 29.7%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_real_writer,cl_0006,GOOGL return on assets (ROA) is around 15.4%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_template,cl_0006,GOOGL return on assets (ROA) is around 15.4%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:reranker_template,cl_0006,GOOGL return on assets (ROA) is around 15.4%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_real_writer,cl_0006,MSFT return on assets (ROA) is around 18.2%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_template,cl_0006,MSFT return on assets (ROA) is around 18.2%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:reranker_template,cl_0006,MSFT return on assets (ROA) is around 18.2%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_real_writer,cl_0006,NVDA return on assets (ROA) is around 44.1%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_template,cl_0006,NVDA return on assets (ROA) is around 44.1%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:reranker_template,cl_0006,NVDA return on assets (ROA) is around 44.1%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_real_writer,cl_0006,TSLA return on assets (ROA) is around 8.6%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_template,cl_0006,TSLA return on assets (ROA) is around 8.6%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:reranker_template,cl_0006,TSLA return on assets (ROA) is around 8.6%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:bm25_template,cl_0005,AAPL return on equity (ROE) is around 132.4%.,direct_factual_extraction,0.73,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:reranker_template,cl_0005,AAPL return on equity (ROE) is around 132.4%.,direct_factual_extraction,0.73,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_real_writer,cl_0005,GOOGL return on equity (ROE) is around 33.1%.,direct_factual_extraction,0.73,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_template,cl_0005,GOOGL return on equity (ROE) is around 33.1%.,direct_factual_extraction,0.73,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:reranker_template,cl_0005,GOOGL return on equity (ROE) is around 33.1%.,direct_factual_extraction,0.73,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_real_writer,cl_0005,MSFT return on equity (ROE) is around 41.7%.,direct_factual_extraction,0.73,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_template,cl_0005,MSFT return on equity (ROE) is around 41.7%.,direct_factual_extraction,0.73,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:reranker_template,cl_0005,MSFT return on equity (ROE) is around 41.7%.,direct_factual_extraction,0.73,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_real_writer,cl_0005,NVDA return on equity (ROE) is around 96.2%.,direct_factual_extraction,0.73,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_template,cl_0005,NVDA return on equity (ROE) is around 96.2%.,direct_factual_extraction,0.73,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:reranker_template,cl_0005,NVDA return on equity (ROE) is around 96.2%.,direct_factual_extraction,0.73,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_real_writer,cl_0005,TSLA return on equity (ROE) is around 15.2%.,direct_factual_extraction,0.73,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_template,cl_0005,TSLA return on equity (ROE) is around 15.2%.,direct_factual_extraction,0.73,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:reranker_template,cl_0005,TSLA return on equity (ROE) is around 15.2%.,direct_factual_extraction,0.73,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:bm25_template,cl_0004,AAPL net margin is approximately 24.6%.,direct_factual_extraction,0.74,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:reranker_template,cl_0004,AAPL net margin is approximately 24.6%.,direct_factual_extraction,0.74,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_real_writer,cl_0004,GOOGL net margin is approximately 28.9%.,direct_factual_extraction,0.74,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_template,cl_0004,GOOGL net margin is approximately 28.9%.,direct_factual_extraction,0.74,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:reranker_template,cl_0004,GOOGL net margin is approximately 28.9%.,direct_factual_extraction,0.74,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_real_writer,cl_0004,MSFT net margin is approximately 36.4%.,direct_factual_extraction,0.74,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_template,cl_0004,MSFT net margin is approximately 36.4%.,direct_factual_extraction,0.74,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:reranker_template,cl_0004,MSFT net margin is approximately 36.4%.,direct_factual_extraction,0.74,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_real_writer,cl_0004,NVDA net margin is approximately 52.4%.,direct_factual_extraction,0.74,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_template,cl_0004,NVDA net margin is approximately 52.4%.,direct_factual_extraction,0.74,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:reranker_template,cl_0004,NVDA net margin is approximately 52.4%.,direct_factual_extraction,0.74,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_real_writer,cl_0004,TSLA net margin is approximately 7.8%.,direct_factual_extraction,0.74,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_template,cl_0004,TSLA net margin is approximately 7.8%.,direct_factual_extraction,0.74,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:reranker_template,cl_0004,TSLA net margin is approximately 7.8%.,direct_factual_extraction,0.74,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:bm25_template,cl_0010,AAPL has a low risk signal level with ratio 0.00.,derived_aggregated,0.7,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:reranker_template,cl_0010,AAPL has a low risk signal level with ratio 0.00.,derived_aggregated,0.7,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_real_writer,cl_0010,GOOGL has a low risk signal level with ratio 0.00.,derived_aggregated,0.7,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_template,cl_0010,GOOGL has a low risk signal level with ratio 0.00.,derived_aggregated,0.7,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:reranker_template,cl_0010,GOOGL has a low risk signal level with ratio 0.00.,derived_aggregated,0.7,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_real_writer,cl_0010,MSFT has a low risk signal level with ratio 0.00.,derived_aggregated,0.7,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_template,cl_0010,MSFT has a low risk signal level with ratio 0.00.,derived_aggregated,0.7,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:reranker_template,cl_0010,MSFT has a low risk signal level with ratio 0.00.,derived_aggregated,0.7,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_real_writer,cl_0010,NVDA has a low risk signal level with ratio 0.00.,derived_aggregated,0.7,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_template,cl_0010,NVDA has a low risk signal level with ratio 0.00.,derived_aggregated,0.7,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:reranker_template,cl_0010,NVDA has a low risk signal level with ratio 0.00.,derived_aggregated,0.7,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_real_writer,cl_0010,TSLA has a low risk signal level with ratio 0.00.,derived_aggregated,0.7,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_template,cl_0010,TSLA has a low risk signal level with ratio 0.00.,derived_aggregated,0.7,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:reranker_template,cl_0010,TSLA has a low risk signal level with ratio 0.00.,derived_aggregated,0.7,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:bm25_template,cl_0009,AAPL ranks #1 by average trust-weighted evidence quality in current peer set.,derived_aggregated,0.72,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:reranker_template,cl_0009,AAPL ranks #1 by average trust-weighted evidence quality in current peer set.,derived_aggregated,0.72,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_real_writer,cl_0009,GOOGL ranks #1 by average trust-weighted evidence quality in current peer set.,derived_aggregated,0.72,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_template,cl_0009,GOOGL ranks #1 by average trust-weighted evidence quality in current peer set.,derived_aggregated,0.72,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:reranker_template,cl_0009,GOOGL ranks #1 by average trust-weighted evidence quality in current peer set.,derived_aggregated,0.72,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_real_writer,cl_0009,MSFT ranks #1 by average trust-weighted evidence quality in current peer set.,derived_aggregated,0.72,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_template,cl_0009,MSFT ranks #1 by average trust-weighted evidence quality in current peer set.,derived_aggregated,0.72,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:reranker_template,cl_0009,MSFT ranks #1 by average trust-weighted evidence quality in current peer set.,derived_aggregated,0.72,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_real_writer,cl_0009,NVDA ranks #1 by average trust-weighted evidence quality in current peer set.,derived_aggregated,0.72,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_template,cl_0009,NVDA ranks #1 by average trust-weighted evidence quality in current peer set.,derived_aggregated,0.72,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:reranker_template,cl_0009,NVDA ranks #1 by average trust-weighted evidence quality in current peer set.,derived_aggregated,0.72,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_real_writer,cl_0009,TSLA ranks #1 by average trust-weighted evidence quality in current peer set.,derived_aggregated,0.72,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_template,cl_0009,TSLA ranks #1 by average trust-weighted evidence quality in current peer set.,derived_aggregated,0.72,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:reranker_template,cl_0009,TSLA ranks #1 by average trust-weighted evidence quality in current peer set.,derived_aggregated,0.72,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:bm25_template,cl_0007,AAPL operating cash flow is estimated near 38.1B.,direct_factual_extraction,0.75,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:reranker_template,cl_0007,AAPL operating cash flow is estimated near 38.1B.,direct_factual_extraction,0.75,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_real_writer,cl_0007,GOOGL operating cash flow is estimated near 29.5B.,direct_factual_extraction,0.75,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_template,cl_0007,GOOGL operating cash flow is estimated near 29.5B.,direct_factual_extraction,0.75,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:reranker_template,cl_0007,GOOGL operating cash flow is estimated near 29.5B.,direct_factual_extraction,0.75,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_real_writer,cl_0007,MSFT operating cash flow is estimated near 33.6B.,direct_factual_extraction,0.75,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_template,cl_0007,MSFT operating cash flow is estimated near 33.6B.,direct_factual_extraction,0.75,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:reranker_template,cl_0007,MSFT operating cash flow is estimated near 33.6B.,direct_factual_extraction,0.75,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_real_writer,cl_0007,NVDA operating cash flow is estimated near 19.8B.,direct_factual_extraction,0.75,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_template,cl_0007,NVDA operating cash flow is estimated near 19.8B.,direct_factual_extraction,0.75,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:reranker_template,cl_0007,NVDA operating cash flow is estimated near 19.8B.,direct_factual_extraction,0.75,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_real_writer,cl_0007,TSLA operating cash flow is estimated near 6.3B.,direct_factual_extraction,0.75,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_template,cl_0007,TSLA operating cash flow is estimated near 6.3B.,direct_factual_extraction,0.75,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:reranker_template,cl_0007,TSLA operating cash flow is estimated near 6.3B.,direct_factual_extraction,0.75,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:bm25_template,cl_0003,AAPL revenue growth is estimated near 11.2% in the sample period.,direct_factual_extraction,0.76,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:reranker_template,cl_0003,AAPL revenue growth is estimated near 11.2% in the sample period.,direct_factual_extraction,0.76,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_real_writer,cl_0003,GOOGL revenue growth is estimated near 12.5% in the sample period.,direct_factual_extraction,0.76,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_template,cl_0003,GOOGL revenue growth is estimated near 12.5% in the sample period.,direct_factual_extraction,0.76,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:reranker_template,cl_0003,GOOGL revenue growth is estimated near 12.5% in the sample period.,direct_factual_extraction,0.76,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_real_writer,cl_0003,MSFT revenue growth is estimated near 14.8% in the sample period.,direct_factual_extraction,0.76,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_template,cl_0003,MSFT revenue growth is estimated near 14.8% in the sample period.,direct_factual_extraction,0.76,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:reranker_template,cl_0003,MSFT revenue growth is estimated near 14.8% in the sample period.,direct_factual_extraction,0.76,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_real_writer,cl_0003,NVDA revenue growth is estimated near 38.6% in the sample period.,direct_factual_extraction,0.76,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_template,cl_0003,NVDA revenue growth is estimated near 38.6% in the sample period.,direct_factual_extraction,0.76,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:reranker_template,cl_0003,NVDA revenue growth is estimated near 38.6% in the sample period.,direct_factual_extraction,0.76,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_real_writer,cl_0003,TSLA revenue growth is estimated near 9.4% in the sample period.,direct_factual_extraction,0.76,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_template,cl_0003,TSLA revenue growth is estimated near 9.4% in the sample period.,direct_factual_extraction,0.76,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:reranker_template,cl_0003,TSLA revenue growth is estimated near 9.4% in the sample period.,direct_factual_extraction,0.76,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:bm25_template,cl_0008,AAPL currently has 6 evidence rows from 5 source types.,derived_aggregated,0.75,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:reranker_template,cl_0008,AAPL currently has 6 evidence rows from 5 source types.,derived_aggregated,0.75,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_real_writer,cl_0008,GOOGL currently has 6 evidence rows from 5 source types.,derived_aggregated,0.75,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_template,cl_0008,GOOGL currently has 6 evidence rows from 5 source types.,derived_aggregated,0.75,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:reranker_template,cl_0008,GOOGL currently has 6 evidence rows from 5 source types.,derived_aggregated,0.75,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_real_writer,cl_0008,MSFT currently has 6 evidence rows from 5 source types.,derived_aggregated,0.75,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_template,cl_0008,MSFT currently has 6 evidence rows from 5 source types.,derived_aggregated,0.75,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:reranker_template,cl_0008,MSFT currently has 6 evidence rows from 5 source types.,derived_aggregated,0.75,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_real_writer,cl_0008,NVDA currently has 6 evidence rows from 5 source types.,derived_aggregated,0.75,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_template,cl_0008,NVDA currently has 6 evidence rows from 5 source types.,derived_aggregated,0.75,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:reranker_template,cl_0008,NVDA currently has 6 evidence rows from 5 source types.,derived_aggregated,0.75,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_real_writer,cl_0008,TSLA currently has 6 evidence rows from 5 source types.,derived_aggregated,0.75,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_template,cl_0008,TSLA currently has 6 evidence rows from 5 source types.,derived_aggregated,0.75,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:reranker_template,cl_0008,TSLA currently has 6 evidence rows from 5 source types.,derived_aggregated,0.75,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:bm25_template,cl_0002,AAPL gross margin is estimated near 46.8%.,direct_factual_extraction,0.78,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:reranker_template,cl_0002,AAPL gross margin is estimated near 46.8%.,direct_factual_extraction,0.78,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_real_writer,cl_0002,GOOGL gross margin is estimated near 58.7%.,direct_factual_extraction,0.78,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_template,cl_0002,GOOGL gross margin is estimated near 58.7%.,direct_factual_extraction,0.78,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:reranker_template,cl_0002,GOOGL gross margin is estimated near 58.7%.,direct_factual_extraction,0.78,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_real_writer,cl_0002,MSFT gross margin is estimated near 69.2%.,direct_factual_extraction,0.78,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_template,cl_0002,MSFT gross margin is estimated near 69.2%.,direct_factual_extraction,0.78,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:reranker_template,cl_0002,MSFT gross margin is estimated near 69.2%.,direct_factual_extraction,0.78,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_real_writer,cl_0002,NVDA gross margin is estimated near 74.1%.,direct_factual_extraction,0.78,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_template,cl_0002,NVDA gross margin is estimated near 74.1%.,direct_factual_extraction,0.78,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:reranker_template,cl_0002,NVDA gross margin is estimated near 74.1%.,direct_factual_extraction,0.78,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_real_writer,cl_0002,TSLA gross margin is estimated near 19.6%.,direct_factual_extraction,0.78,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_template,cl_0002,TSLA gross margin is estimated near 19.6%.,direct_factual_extraction,0.78,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:reranker_template,cl_0002,TSLA gross margin is estimated near 19.6%.,direct_factual_extraction,0.78,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:bm25_template,cl_0001,AAPL reported revenue around 126.3B in the available sample.,direct_factual_extraction,0.8,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:reranker_template,cl_0001,AAPL reported revenue around 126.3B in the available sample.,direct_factual_extraction,0.8,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_real_writer,cl_0001,GOOGL reported revenue around 96.4B in the available sample.,direct_factual_extraction,0.8,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_template,cl_0001,GOOGL reported revenue around 96.4B in the available sample.,direct_factual_extraction,0.8,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:reranker_template,cl_0001,GOOGL reported revenue around 96.4B in the available sample.,direct_factual_extraction,0.8,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_real_writer,cl_0001,MSFT reported revenue around 72.1B in the available sample.,direct_factual_extraction,0.8,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_template,cl_0001,MSFT reported revenue around 72.1B in the available sample.,direct_factual_extraction,0.8,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:reranker_template,cl_0001,MSFT reported revenue around 72.1B in the available sample.,direct_factual_extraction,0.8,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_real_writer,cl_0001,NVDA reported revenue around 41.8B in the available sample.,direct_factual_extraction,0.8,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_template,cl_0001,NVDA reported revenue around 41.8B in the available sample.,direct_factual_extraction,0.8,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:reranker_template,cl_0001,NVDA reported revenue around 41.8B in the available sample.,direct_factual_extraction,0.8,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_real_writer,cl_0001,TSLA reported revenue around 28.7B in the available sample.,direct_factual_extraction,0.8,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_template,cl_0001,TSLA reported revenue around 28.7B in the available sample.,direct_factual_extraction,0.8,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:reranker_template,cl_0001,TSLA reported revenue around 28.7B in the available sample.,direct_factual_extraction,0.8,,,verification,,,,,evaluation,,,,,
